nb_step	phi=0.2	phi=0.7
793.0	0.2	0.16
794.0	0.2	0.17
795.0	0.2	0.17
796.0	0.2	0.17
797.0	0.21	0.17
798.0	0.22	0.17
799.0	0.22	0.17
800.0	0.22	0.17
801.0	0.22	0.17
802.0	0.22	0.17
803.0	0.22	0.17
804.0	0.22	0.17
805.0	0.22	0.17
806.0	0.22	0.17
807.0	0.22	0.17
808.0	0.22	0.17
809.0	0.22	0.17
810.0	0.22	0.17
811.0	0.22	0.17
812.0	0.22	0.17
813.0	0.22	0.17
814.0	0.22	0.17
815.0	0.22	0.17
816.0	0.22	0.17
817.0	0.22	0.17
818.0	0.22	0.17
819.0	0.22	0.17
820.0	0.22	0.17
821.0	0.22	0.17
822.0	0.22	0.17
823.0	0.22	0.17
824.0	0.22	0.17
825.0	0.22	0.17
826.0	0.22	0.17
827.0	0.22	0.17
828.0	0.22	0.17
829.0	0.22	0.17
830.0	0.22	0.17
831.0	0.22	0.17
832.0	0.22	0.17
833.0	0.22	0.17
834.0	0.22	0.17
835.0	0.22	0.17
836.0	0.22	0.17
837.0	0.22	0.17
838.0	0.22	0.17
839.0	0.22	0.17
840.0	0.22	0.17
841.0	0.22	0.17
842.0	0.22	0.17
843.0	0.22	0.17
844.0	0.22	0.17
845.0	0.22	0.17
846.0	0.22	0.17
847.0	0.22	0.17
848.0	0.22	0.17
849.0	0.22	0.17
850.0	0.22	0.17
851.0	0.21	0.17
852.0	0.21	0.17
853.0	0.21	0.17
854.0	0.21	0.17
855.0	0.21	0.17
856.0	0.21	0.17
857.0	0.21	0.17
858.0	0.21	0.17
859.0	0.21	0.17
860.0	0.21	0.17
861.0	0.21	0.17
862.0	0.21	0.17
863.0	0.21	0.17
864.0	0.21	0.17
865.0	0.21	0.17
866.0	0.21	0.17
867.0	0.21	0.17
868.0	0.2	0.17
869.0	0.2	0.17
870.0	0.2	0.17
871.0	0.2	0.17
872.0	0.2	0.17
873.0	0.2	0.17
874.0	0.2	0.17
875.0	0.2	0.17
876.0	0.2	0.17
877.0	0.2	0.17
878.0	0.2	0.17
879.0	0.2	0.17
880.0	0.2	0.16
881.0	0.2	0.16
882.0	0.2	0.16
883.0	0.2	0.16
884.0	0.2	0.16
885.0	0.2	0.16
886.0	0.2	0.16
887.0	0.2	0.16
888.0	0.2	0.16
889.0	0.2	0.16
890.0	0.2	0.16
891.0	0.2	0.16
892.0	0.2	0.16
893.0	0.2	0.16
894.0	0.2	0.17
895.0	0.2	0.17
896.0	0.2	0.17
897.0	0.2	0.17
898.0	0.2	0.17
899.0	0.2	0.17
900.0	0.2	0.17
901.0	0.2	0.17
902.0	0.2	0.17
903.0	0.2	0.17
904.0	0.2	0.17
905.0	0.2	0.17
906.0	0.2	0.17
907.0	0.2	0.17
908.0	0.2	0.17
909.0	0.2	0.18
910.0	0.19	0.18
911.0	0.2	0.18
912.0	0.2	0.18
913.0	0.2	0.18
914.0	0.2	0.18
915.0	0.2	0.18
916.0	0.2	0.18
917.0	0.2	0.18
918.0	0.2	0.18
919.0	0.2	0.18
920.0	0.2	0.18
921.0	0.2	0.18
922.0	0.2	0.18
923.0	0.2	0.18
924.0	0.2	0.18
925.0	0.2	0.18
926.0	0.2	0.18
927.0	0.2	0.18
928.0	0.2	0.18
929.0	0.2	0.18
930.0	0.2	0.18
931.0	0.19	0.18
932.0	0.19	0.18
933.0	0.2	0.19
934.0	0.2	0.19
935.0	0.2	0.19
936.0	0.19	0.19
937.0	0.19	0.2
938.0	0.19	0.2
939.0	0.19	0.2
940.0	0.19	0.2
941.0	0.19	0.2
942.0	0.19	0.2
943.0	0.19	0.2
944.0	0.19	0.2
945.0	0.19	0.2
946.0	0.19	0.2
947.0	0.19	0.2
948.0	0.19	0.2
949.0	0.19	0.2
950.0	0.19	0.2
951.0	0.19	0.2
952.0	0.19	0.2
953.0	0.19	0.2
954.0	0.19	0.2
955.0	0.19	0.2
956.0	0.19	0.2
957.0	0.19	0.2
958.0	0.19	0.2
959.0	0.19	0.2
960.0	0.2	0.2
961.0	0.2	0.2
962.0	0.2	0.2
963.0	0.2	0.2
964.0	0.2	0.2
965.0	0.21	0.2
966.0	0.21	0.2
967.0	0.21	0.2
968.0	0.21	0.2
969.0	0.21	0.2
970.0	0.21	0.2
971.0	0.21	0.2
972.0	0.21	0.2
973.0	0.21	0.2
974.0	0.21	0.2
975.0	0.21	0.2
976.0	0.21	0.2
977.0	0.21	0.2
978.0	0.2	0.2
979.0	0.21	0.2
980.0	0.21	0.2
981.0	0.21	0.2
982.0	0.21	0.2
983.0	0.21	0.2
984.0	0.21	0.2
985.0	0.21	0.2
986.0	0.21	0.2
987.0	0.21	0.2
988.0	0.21	0.2
989.0	0.21	0.2
990.0	0.21	0.2
991.0	0.2	0.2
992.0	0.2	0.2
993.0	0.21	0.2
994.0	0.21	0.2
995.0	0.21	0.2
996.0	0.22	0.2
997.0	0.22	0.2
998.0	0.22	0.2
999.0	0.22	0.2
1000.0	0.22	0.2
1001.0	0.22	0.2
1002.0	0.22	0.2
1003.0	0.22	0.2
1004.0	0.22	0.2
1005.0	0.22	0.2
1006.0	0.22	0.2
1007.0	0.22	0.2
1008.0	0.22	0.2
1009.0	0.22	0.2
1010.0	0.22	0.2
1011.0	0.22	0.21
1012.0	0.22	0.21
1013.0	0.22	0.21
1014.0	0.22	0.21
1015.0	0.23	0.22
1016.0	0.23	0.22
1017.0	0.23	0.22
1018.0	0.23	0.22
1019.0	0.23	0.22
1020.0	0.23	0.22
1021.0	0.23	0.22
1022.0	0.23	0.22
1023.0	0.23	0.22
1024.0	0.23	0.22
1025.0	0.23	0.22
1026.0	0.23	0.22
1027.0	0.23	0.22
1028.0	0.23	0.22
1029.0	0.23	0.22
1030.0	0.23	0.22
1031.0	0.23	0.23
1032.0	0.23	0.23
1033.0	0.23	0.23
1034.0	0.23	0.23
1035.0	0.23	0.23
1036.0	0.23	0.23
1037.0	0.23	0.24
1038.0	0.23	0.24
1039.0	0.23	0.24
1040.0	0.23	0.24
1041.0	0.23	0.24
1042.0	0.23	0.24
1043.0	0.23	0.24
1044.0	0.23	0.24
1045.0	0.23	0.25
1046.0	0.23	0.25
1047.0	0.23	0.25
1048.0	0.23	0.25
1049.0	0.23	0.25
1050.0	0.23	0.25
1051.0	0.23	0.25
1052.0	0.23	0.25
1053.0	0.23	0.24
1054.0	0.23	0.24
1055.0	0.23	0.24
1056.0	0.23	0.24
1057.0	0.23	0.24
1058.0	0.23	0.24
1059.0	0.23	0.24
1060.0	0.23	0.24
1061.0	0.23	0.24
1062.0	0.23	0.24
1063.0	0.23	0.24
1064.0	0.23	0.24
1065.0	0.23	0.24
1066.0	0.23	0.24
1067.0	0.23	0.24
1068.0	0.23	0.24
1069.0	0.23	0.24
1070.0	0.23	0.24
1071.0	0.23	0.24
1072.0	0.23	0.24
1073.0	0.23	0.24
1074.0	0.23	0.24
1075.0	0.24	0.24
1076.0	0.24	0.24
1077.0	0.24	0.24
1078.0	0.24	0.24
1079.0	0.24	0.24
1080.0	0.24	0.24
1081.0	0.24	0.24
1082.0	0.24	0.24
1083.0	0.26	0.24
1084.0	0.26	0.24
1085.0	0.26	0.24
1086.0	0.26	0.24
1087.0	0.26	0.24
1088.0	0.26	0.24
1089.0	0.26	0.25
1090.0	0.26	0.25
1091.0	0.26	0.25
1092.0	0.26	0.25
1093.0	0.26	0.25
1094.0	0.26	0.25
1095.0	0.26	0.25
1096.0	0.26	0.25
1097.0	0.27	0.25
1098.0	0.26	0.25
1099.0	0.27	0.25
1100.0	0.27	0.25
1101.0	0.27	0.25
1102.0	0.27	0.25
1103.0	0.27	0.25
1104.0	0.27	0.25
1105.0	0.27	0.25
1106.0	0.27	0.25
1107.0	0.27	0.25
1108.0	0.27	0.25
1109.0	0.27	0.25
1110.0	0.27	0.25
1111.0	0.27	0.25
1112.0	0.27	0.25
1113.0	0.27	0.25
1114.0	0.27	0.25
1115.0	0.27	0.25
1116.0	0.27	0.25
1117.0	0.27	0.26
1118.0	0.27	0.26
1119.0	0.27	0.26
1120.0	0.27	0.26
1121.0	0.27	0.26
1122.0	0.27	0.26
1123.0	0.27	0.26
1124.0	0.27	0.26
1125.0	0.27	0.26
1126.0	0.27	0.26
1127.0	0.27	0.26
1128.0	0.27	0.26
1129.0	0.27	0.26
1130.0	0.27	0.26
1131.0	0.27	0.26
1132.0	0.27	0.26
1133.0	0.27	0.26
1134.0	0.27	0.26
1135.0	0.27	0.26
1136.0	0.27	0.26
1137.0	0.27	0.26
1138.0	0.27	0.26
1139.0	0.27	0.26
1140.0	0.27	0.26
1141.0	0.27	0.26
1142.0	0.27	0.26
1143.0	0.28	0.26
1144.0	0.28	0.26
1145.0	0.28	0.26
1146.0	0.28	0.26
